0,1,2,3,4,5,6,7,8,9,10,11,12,13
-0.2,0.98,0.12,0.99,-0.2,-1.01,0.12,-0.97,8.231218007328128,4.1,-1.46,152.98,-52.13,161.16
-0.27,0.96,0.16,0.96,-0.26,-0.98,0.16,-0.95,7.762116590914624,3.14,-0.11,248.48,-3.92,141.18
-0.19,0.98,0.11,1.24,-0.19,-1.32,0.12,-1.04,7.545910847670925,1.43,0.72,295.89,38.12,61.2
-0.23,0.97,0.13,1.45,-0.22,-1.59,0.14,-1.08,3.1118695970257324,3.13,-5.3,1159.26,-48.3,148.38
-0.32,0.95,0.2,1.0,-0.33,-1.03,0.2,-0.95,8.267329939050809,1.73,0.39,142.46,16.94,81.37
-0.39,0.92,0.24,0.94,-0.39,-0.95,0.24,-0.92,9.689313691182345,0.55,-0.36,-136.99,-14.88,6.22
-0.44,0.9,0.23,1.6,-0.4,-1.78,0.27,-1.06,7.734463521173955,1.86,-2.08,249.11,-27.55,76.47
-0.38,0.92,0.23,0.95,-0.38,-0.97,0.23,-0.92,8.05776991420798,0.44,-0.3,182.87,-10.08,44.18
-0.19,0.98,0.11,1.24,-0.19,-1.32,0.12,-1.04,8.220831968110268,1.28,0.78,158.55,33.9,49.35
-0.06,1.0,0.04,1.05,-0.06,-1.08,0.04,-1.0,9.168715150974124,-0.07,1.45,-33.64,50.83,-2.45
-0.47,0.88,0.28,1.23,-0.47,-1.33,0.29,-0.95,9.635869693735128,2.63,1.56,-129.27,45.32,74.1
-0.44,0.9,0.26,1.09,-0.43,-1.15,0.27,-0.94,2.2986835552247644,-0.62,-4.09,1351.72,-78.4,170.9
-0.4,0.92,0.23,1.47,-0.38,-1.63,0.25,-1.04,4.0764862479169315,0.27,-2.16,957.15,30.28,105.63
-0.42,0.91,0.23,1.66,-0.38,-1.86,0.27,-1.08,2.4593625604618907,1.58,-5.06,1337.52,28.71,167.23
-0.36,0.93,0.19,1.69,-0.33,-1.89,0.22,-1.1,8.791256187926905,7.75,-0.65,40.79,-10.49,204.5
-0.4,0.92,0.24,1.24,-0.4,-1.34,0.25,-0.99,3.0502347076014957,2.07,-3.43,1157.24,-29.51,199.27
-0.44,0.9,0.25,1.53,-0.42,-1.7,0.27,-1.04,8.678836720572109,2.17,1.42,62.66,48.47,70.27
-0.26,0.97,0.15,0.98,-0.25,-1.0,0.16,-0.96,8.184368298667298,2.82,0.74,164.1,27.27,120.34
-0.42,0.91,0.23,1.41,-0.39,-1.55,0.26,-1.02,7.250612611812299,3.09,-0.05,341.62,29.28,129.07
-0.36,0.93,0.19,1.69,-0.33,-1.89,0.22,-1.1,9.850922288778637,8.43,-0.26,-166.28,-23.25,208.34
-0.08,1.0,0.05,1.48,-0.08,-1.62,0.05,-1.1,2.3755239448721497,6.87,-5.69,1287.54,-46.3,205.46
-0.42,0.91,0.22,1.67,-0.38,-1.87,0.26,-1.08,9.227713285587779,6.94,2.17,-46.37,54.59,182.37
-0.19,0.98,0.11,1.24,-0.19,-1.32,0.12,-1.04,3.533200625616719,2.43,0.29,1112.44,63.22,131.62
-0.3,0.95,0.18,1.41,-0.29,-1.53,0.18,-1.05,7.784264988157188,1.78,-2.51,237.75,-53.31,71.99
-0.41,0.91,0.24,1.03,-0.41,-1.07,0.25,-0.93,5.17461225470509,-0.49,-0.84,758.04,-8.69,87.25
-0.35,0.94,0.2,1.74,-0.33,-1.95,0.21,-1.12,1.2807572173169457,3.91,-3.17,1511.12,100.79,207.08
-0.14,0.99,0.08,1.47,-0.14,-1.61,0.09,-1.1,9.973606634557065,5.42,0.59,-196.0,3.52,148.66
-0.14,0.99,0.08,1.47,-0.14,-1.61,0.09,-1.1,9.867797532822213,5.43,0.55,-174.7,3.94,149.56
-0.35,0.94,0.2,1.32,-0.33,-1.42,0.22,-1.02,8.785046948416293,0.69,1.08,41.8,37.87,27.35
-0.23,0.97,0.14,1.25,-0.23,-1.33,0.14,-1.03,4.166355716709425,2.42,0.79,973.86,73.91,137.04
-0.25,0.97,0.14,1.04,-0.24,-1.07,0.16,-0.98,3.043945656259921,1.16,-0.16,1154.3,14.42,131.53
-0.08,1.0,0.05,1.48,-0.08,-1.62,0.05,-1.1,8.509528808399512,5.41,-0.51,95.33,-5.04,153.63
-0.48,0.88,0.25,1.52,-0.43,-1.69,0.3,-1.02,9.510141483467523,5.19,-1.75,-101.18,-60.03,139.2
-0.11,0.99,0.07,1.44,-0.11,-1.57,0.07,-1.09,0.4983591138578103,7.15,-1.78,1680.71,78.69,230.68
-0.3,0.95,0.19,1.11,-0.31,-1.16,0.18,-0.98,9.366446143395825,2.1,0.42,-72.52,13.34,69.05
-0.05,1.0,0.03,1.05,-0.05,-1.07,0.03,-1.0,4.230843246954778,4.63,-1.3,949.62,-31.97,168.67
-0.12,0.99,0.07,1.08,-0.12,-1.12,0.07,-1.01,9.716540973515412,0.1,-0.95,-140.76,-35.28,-0.74
-0.08,1.0,0.05,1.29,-0.08,-1.38,0.05,-1.06,9.832086004617391,4.15,1.04,-165.61,25.16,127.07
-0.13,0.99,0.07,1.62,-0.12,-1.8,0.08,-1.13,3.921727499598522,4.8,-2.28,1019.9,42.67,146.7
